place,extra_content,extracted_tags
대한다원,"['광고', '위뜨', '보성여행', '보성녹차밭', '보성녹차', '보성가볼만한곳', '보성애물들다', '보성디딤돌', '보물', '겨울여행지추천', '겨울여행지', '전남여행', '전남가볼만한곳', '전남여행지추천', '대한다원', '녹차밭', '대한다원보성녹차밭', '핏포먼서', '애슬라이프']","['광고', '위뜨', '보성여행', '보성녹차밭', '보성녹차', '보성가볼만한곳', '보성애물들다', '보성디딤돌', '보물', '겨울여행지추천', '겨울여행지', '전남여행', '전남가볼만한곳', '전남여행지추천', '대한다원', '녹차밭', '대한다원보성녹차밭', '핏포먼서', '애슬라이프']"
,"['담양펜션', '담양여행', '담양핫플', '펜션추천', '담양숙소', '감성숙소', '풀빌라펜션', '스파펜션', '풀빌라', '커플펜션', '전남여행', '우정여행', '힐링여행']","['담양펜션', '담양여행', '담양핫플', '펜션추천', '담양숙소', '감성숙소', '풀빌라펜션', '스파펜션', '풀빌라', '커플펜션', '전남여행', '우정여행', '힐링여행']"
,"['광주카페', '광주데이트', '광주가볼만한곳', '광주여행', '웅이웅이', '컴피코지', '까망감', '하울링', 'oic', 'loungeoic', '광주브런치', '광주술집', '광주핫플레이스', '전남여행', '담양여행', '담양카페', '광주크리스마스', '전남크리스마스', '크리스마스카페', '크리스마스분위기', '광주카페추천', '광주카페투어', '동명동술집', '동명동술집추천', '광주근교카페', '광주근교나들이', '광주근교드라이브', '광주근교여행', '광주근교가볼만한곳']","['광주카페', '광주데이트', '광주가볼만한곳', '광주여행', '웅이웅이', '컴피코지', '까망감', '하울링', 'oic', 'loungeoic', '광주브런치', '광주술집', '광주핫플레이스', '전남여행', '담양여행', '담양카페', '광주크리스마스', '전남크리스마스', '크리스마스카페', '크리스마스분위기', '광주카페추천', '광주카페투어', '동명동술집', '동명동술집추천', '광주근교카페', '광주근교나들이', '광주근교드라이브', '광주근교여행', '광주근교가볼만한곳']"
,['시니플하게'],['시니플하게']
담양곤충박물관,"['담양곤충박물관🇰🇷전남', '아델레트래블_담양', '아델레트래블']","['담양곤충박물관🇰🇷전남', '아델레트래블_담양', '아델레트래블']"
,"['석산', '목포카페', '목포가볼만한곳', '목포여행', '대한민국구석구석', '크리스마스트리', 'merrychristmas', '전남여행', '인생사진']","['석산', '목포카페', '목포가볼만한곳', '목포여행', '대한민국구석구석', '크리스마스트리', 'merrychristmas', '전남여행', '인생사진']"
,"['관방제림', '담양']","['관방제림', '담양']"
,['메타세쿼이아랜드담양에서'],['메타세쿼이아랜드담양에서']
전라남도 여수,"['여수먹깨비이벤트', '여수숙소', '여수숙소추천', '여수풀빌라', '여수풀빌라펜션', '여수펜션', '여수촌캉스', '촌캉스', '여수여행', '여수여행코스', '전남여행', '전라도여행', '겨울여행지', '여수핫플', '여수가볼만한곳', '화양면', '화양면펜션', '여수온수풀', '여수감성숙소', '감성숙소추천', '숙박권이벤트', '연말파티', '크리스마스인테리어', '여수크리스마스', '여수먹깨비', '여수호캉스']","['여수먹깨비이벤트', '여수숙소', '여수숙소추천', '여수풀빌라', '여수풀빌라펜션', '여수펜션', '여수촌캉스', '촌캉스', '여수여행', '여수여행코스', '전남여행', '전라도여행', '겨울여행지', '여수핫플', '여수가볼만한곳', '화양면', '화양면펜션', '여수온수풀', '여수감성숙소', '감성숙소추천', '숙박권이벤트', '연말파티', '크리스마스인테리어', '여수크리스마스', '여수먹깨비', '여수호캉스']"
,"['찾아가는곡성전통시장홍보기차', '곡성', '곡성기차마을', '곡성기차마을전통시장', '찾아가는홍보기차', '홍보차량', '전통시장', '이벤트', '이벤트행사', '현장이벤트', '곡성가볼만한곳', '곡성여행', '전남여행', '곡성기차마을전통시장상인회', '곡성기차마을시장문화관광형시장육성사업']","['찾아가는곡성전통시장홍보기차', '곡성', '곡성기차마을', '곡성기차마을전통시장', '찾아가는홍보기차', '홍보차량', '전통시장', '이벤트', '이벤트행사', '현장이벤트', '곡성가볼만한곳', '곡성여행', '전남여행', '곡성기차마을전통시장상인회', '곡성기차마을시장문화관광형시장육성사업']"
,"['숙소로그_담양[메타프로방스에', '담양', '그라스풀빌라', '숙소로그', '전남여행', '전남숙소', '담양숙소', '전남풀빌라', '담양펜션', '담양풀빌라', '그라스풀빌라리조트']","['숙소로그_담양[메타프로방스에', '담양', '그라스풀빌라', '숙소로그', '전남여행', '전남숙소', '담양숙소', '전남풀빌라', '담양펜션', '담양풀빌라', '그라스풀빌라리조트']"
